video_id,glosa,tiempo_inicio,tiempo_fin,duracion_seg_etiqueta,confianza,fuente,video_path,archivo_existe,fps,keypoints_validos,mano_dominante,blur_score,velocidad_media,herramienta
20250407120649_cfr,AFUERA,0.083,2.486,2.403,0.404,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AFUERA\20250407120649_cfr.mp4,True,59.94,1.0,derecha,34.83,0.00731,label_studio
20250407120735_cfr,AFUERA,0.1,1.401,1.301,0.69,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AFUERA\20250407120735_cfr.mp4,True,59.94,1.0,derecha,40.82,0.00711,label_studio
20250407120919_cfr,AGARRAR,0.0,1.485,1.485,0.494,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AGARRAR\20250407120919_cfr.mp4,True,59.94,1.0,derecha,40.39,0.00504,label_studio
20250407120924_cfr,AGARRAR,0.0,0.467,0.467,0.833,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AGARRAR\20250407120924_cfr.mp4,True,59.94,1.0,derecha,40.52,0.0073,label_studio
20250407121148_cfr,AGENTE,0.0,1.335,1.335,0.61,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AGENTE\20250407121148_cfr.mp4,True,59.94,1.0,derecha,39.83,0.00927,label_studio
20250407121206_cfr,AGENTE,0.1,1.151,1.051,0.661,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AGENTE\20250407121206_cfr.mp4,True,59.94,1.0,izquierda,39.76,0.00983,label_studio
20250407121513_cfr,AGRESIÓN,0.133,1.485,1.352,0.364,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AGRESIÓN\20250407121513_cfr.mp4,True,59.94,1.0,ambas_izq,23.83,0.00841,label_studio
20250407121519_cfr,AGRESIÓN,0.0,0.817,0.817,0.545,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AGRESIÓN\20250407121519_cfr.mp4,True,59.94,1.0,ambas_der,23.82,0.01152,label_studio
20250407121525_cfr,AGRESIÓN,0.0,0.551,0.551,0.759,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AGRESIÓN\20250407121525_cfr.mp4,True,59.94,1.0,ambas_izq,28.96,0.00975,label_studio
C0179_cfr,AGUA,0.3,1.335,1.035,0.625,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AGUA\C0179_cfr.mp4,True,29.97,1.0,derecha,13.09,0.00765,label_studio
C0330_cfr,"AH,CLARO",0.0,1.468,1.468,0.867,auto,"C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AH,CLARO\C0330_cfr.mp4",True,29.97,1.0,ambas_izq,16.29,0.02223,label_studio
C0331_cfr,"AH,CLARO",0.0,1.468,1.468,0.651,auto,"C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AH,CLARO\C0331_cfr.mp4",True,29.97,1.0,izquierda,16.85,0.01215,label_studio
C0332_cfr,"AH,CLARO",0.0,1.969,1.969,0.741,auto,"C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AH,CLARO\C0332_cfr.mp4",True,29.97,1.0,ambas_izq,17.45,0.01576,label_studio
C0333_cfr,"AH,CLARO",0.0,1.802,1.802,0.882,auto,"C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AH,CLARO\C0333_cfr.mp4",True,29.97,1.0,ambas_izq,18.18,0.01459,label_studio
C0334_cfr,"AH,CLARO",0.0,1.468,1.468,0.767,auto,"C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AH,CLARO\C0334_cfr.mp4",True,29.97,1.0,ambas_izq,16.69,0.01451,label_studio
C0335_cfr,"AH,CLARO",0.0,1.969,1.969,0.483,auto,"C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AH,CLARO\C0335_cfr.mp4",True,29.97,1.0,ambas_izq,18.27,0.00907,label_studio
C0336_cfr,"AH,CLARO",0.0,1.468,1.468,1.0,auto,"C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AH,CLARO\C0336_cfr.mp4",True,29.97,1.0,derecha,16.82,0.01949,label_studio
C0337_cfr,"AH,CLARO",0.0,1.969,1.969,0.847,auto,"C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AH,CLARO\C0337_cfr.mp4",True,29.97,1.0,ambas_izq,16.59,0.01233,label_studio
C0339_cfr,AHORRAR,0.0,2.469,2.469,0.365,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AHORRAR\C0339_cfr.mp4,True,29.97,1.0,ambas_der,17.87,0.01416,label_studio
C0340_cfr,AHORRAR,0.0,1.969,1.969,0.464,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AHORRAR\C0340_cfr.mp4,True,29.97,1.0,derecha,14.92,0.01367,label_studio
20250402104742_cfr,ALERGIA,0.317,1.752,1.435,0.392,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ALERGIA\20250402104742_cfr.mp4,True,59.94,1.0,ambas_izq,18.02,0.00804,label_studio
C0345_cfr,ALGUIEN+UNO,0.0,1.969,1.969,0.61,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ALGUIEN+UNO\C0345_cfr.mp4,True,29.97,1.0,ambas_izq,18.59,0.01205,label_studio
C0346_cfr,ALGUIEN+UNO,0.0,1.969,1.969,0.583,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ALGUIEN+UNO\C0346_cfr.mp4,True,29.97,1.0,ambas_izq,17.26,0.01035,label_studio
20250402115811_cfr,ALGUNA+MAS,0.0,1.985,1.985,0.353,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ALGUNA+MAS\20250402115811_cfr.mp4,True,59.94,1.0,ambas_izq,15.37,0.00665,label_studio
C0341_cfr,ALGUNO,0.1,1.969,1.869,0.642,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ALGUNO\C0341_cfr.mp4,True,29.97,1.0,ambas_izq,16.62,0.01424,label_studio
C0342_cfr,ALGUNO,0.0,1.468,1.468,0.523,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ALGUNO\C0342_cfr.mp4,True,29.97,1.0,ambas_izq,17.07,0.01555,label_studio
C0343_cfr,ALGUNO,0.0,1.468,1.468,0.644,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ALGUNO\C0343_cfr.mp4,True,29.97,1.0,ambas_izq,18.25,0.01921,label_studio
C0344_cfr,ALGUNO,0.0,0.968,0.968,0.733,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ALGUNO\C0344_cfr.mp4,True,29.97,1.0,ambas_der,19.17,0.01316,label_studio
20250407121934_cfr,ALIMENTAR,0.0,0.334,0.334,1.0,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ALIMENTAR\20250407121934_cfr.mp4,True,59.94,1.0,ambas_der,31.11,0.0145,label_studio
20250407130121_cfr,ALTO,0.968,2.486,1.518,0.598,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ALTO\20250407130121_cfr.mp4,True,59.94,1.0,ambas_der,27.98,0.01805,label_studio
20250407130419_cfr,ALTO,0.184,1.485,1.301,0.88,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ALTO\20250407130419_cfr.mp4,True,59.94,1.0,ambas_der,22.49,0.01401,label_studio
20250407130521_cfr,ALTO,0.0,1.001,1.001,0.368,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ALTO\20250407130521_cfr.mp4,True,59.94,1.0,ambas_izq,25.61,0.02426,label_studio
C0347_cfr,AMABLE,0.0,1.468,1.468,0.605,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AMABLE\C0347_cfr.mp4,True,29.97,1.0,derecha,14.25,0.00475,label_studio
C0348_cfr,AMABLE,0.0,1.401,1.401,0.641,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AMABLE\C0348_cfr.mp4,True,29.97,1.0,derecha,17.43,0.00678,label_studio
C0349_cfr,AMABLE,0.0,1.468,1.468,0.767,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AMABLE\C0349_cfr.mp4,True,29.97,1.0,derecha,17.9,0.00532,label_studio
20250407131105_cfr,AMBIENTE,0.217,2.486,2.269,0.594,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AMBIENTE\20250407131105_cfr.mp4,True,59.94,1.0,izquierda,22.06,0.01211,label_studio
20250407131122_cfr,AMBIENTE,0.0,1.301,1.301,0.453,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AMBIENTE\20250407131122_cfr.mp4,True,59.94,1.0,derecha,17.62,0.00745,label_studio
20250407131134_cfr,AMBIENTE,0.0,1.485,1.485,0.407,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AMBIENTE\20250407131134_cfr.mp4,True,59.94,1.0,ambas_izq,21.16,0.00923,label_studio
20250402115252_cfr,ANALIZAR,0.0,2.252,2.252,0.344,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ANALIZAR\20250402115252_cfr.mp4,True,59.94,1.0,izquierda,15.13,0.00682,label_studio
20250402115309_cfr,ANALIZAR,0.0,1.485,1.485,0.618,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ANALIZAR\20250402115309_cfr.mp4,True,59.94,1.0,ambas_izq,15.12,0.00696,label_studio
C0203_cfr,ANCHO,0.0,2.102,2.102,0.754,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ANCHO\C0203_cfr.mp4,True,29.97,1.0,derecha,10.71,0.01595,label_studio
20250402120655_cfr,APLICAR,0.0,1.401,1.401,0.463,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\APLICAR\20250402120655_cfr.mp4,True,59.94,1.0,ambas_der,15.27,0.00888,label_studio
20250402120702_cfr,APLICAR,0.017,1.485,1.468,0.512,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\APLICAR\20250402120702_cfr.mp4,True,59.94,1.0,derecha,16.6,0.0094,label_studio
C0350_cfr,APROBAR,0.0,1.468,1.468,0.467,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\APROBAR\C0350_cfr.mp4,True,29.97,1.0,derecha,19.54,0.01349,label_studio
C0351_cfr,APROBAR,0.0,1.468,1.468,0.614,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\APROBAR\C0351_cfr.mp4,True,29.97,1.0,derecha,17.06,0.01935,label_studio
C0352_cfr,APROBAR,0.0,1.468,1.468,0.578,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\APROBAR\C0352_cfr.mp4,True,29.97,1.0,derecha,18.06,0.01311,label_studio
C0353_cfr,APROBAR,0.0,1.468,1.468,0.533,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\APROBAR\C0353_cfr.mp4,True,29.97,1.0,derecha,17.53,0.0114,label_studio
20250407131318_cfr,APURARSE,0.0,0.534,0.534,0.793,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\APURARSE\20250407131318_cfr.mp4,True,59.94,1.0,ambas_izq,26.37,0.01629,label_studio
20250407131333_cfr,APURARSE,0.0,1.985,1.985,0.568,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\APURARSE\20250407131333_cfr.mp4,True,59.94,1.0,ambas_der,22.42,0.00882,label_studio
20250407131447_cfr,AQUÍ,0.117,1.485,1.368,0.418,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AQUÍ\20250407131447_cfr.mp4,True,59.94,1.0,derecha,25.12,0.00707,label_studio
20250407131455_cfr,AQUÍ,0.0,0.684,0.684,0.421,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AQUÍ\20250407131455_cfr.mp4,True,59.94,1.0,ambas_der,28.1,0.00885,label_studio
20250407131611_cfr,ARGUMENTAR,0.0,1.335,1.335,0.329,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ARGUMENTAR\20250407131611_cfr.mp4,True,59.94,1.0,ambas_der,18.53,0.00871,label_studio
20250407131621_cfr,ARGUMENTAR,0.0,1.985,1.985,0.697,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ARGUMENTAR\20250407131621_cfr.mp4,True,59.94,1.0,derecha,20.06,0.01329,label_studio
20250407132420_cfr,ARRESTADO,0.0,1.985,1.985,0.695,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ARRESTADO\20250407132420_cfr.mp4,True,59.94,1.0,ambas_der,20.74,0.0154,label_studio
20250407132431_cfr,ARRESTADO,0.0,1.985,1.985,0.559,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ARRESTADO\20250407132431_cfr.mp4,True,59.94,1.0,derecha,21.5,0.01143,label_studio
20250407132452_cfr,ARRESTADO,0.334,1.435,1.101,0.847,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ARRESTADO\20250407132452_cfr.mp4,True,59.94,1.0,ambas_der,19.37,0.01541,label_studio
20250402100636_cfr,ARRIBA,0.0,1.285,1.285,0.324,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ARRIBA\20250402100636_cfr.mp4,True,59.94,1.0,derecha,15.5,0.00595,label_studio
20250402100732_cfr,ARRIBA,0.834,2.352,1.518,0.702,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ARRIBA\20250402100732_cfr.mp4,True,59.94,1.0,derecha,22.1,0.00887,label_studio
00054_cfr,ARTÍCULO,0.0,0.767,0.767,0.548,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ARTÍCULO\00054_cfr.mp4,True,59.94,1.0,ambas_izq,55.72,0.0094,label_studio
00055_cfr,ARTÍCULO,0.1,1.485,1.385,0.388,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ARTÍCULO\00055_cfr.mp4,True,59.94,1.0,ambas_izq,40.61,0.00837,label_studio
00056_cfr,ATESTADO,0.017,2.486,2.469,0.303,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ATESTADO\00056_cfr.mp4,True,59.94,1.0,ambas_izq,50.06,0.0086,label_studio
00057_cfr,ATESTADO,0.033,1.935,1.902,0.327,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\ATESTADO\00057_cfr.mp4,True,59.94,1.0,ambas_izq,48.99,0.00873,label_studio
00060_cfr,AUDICIÓN+PERSONA,0.501,1.985,1.484,0.306,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AUDICIÓN+PERSONA\00060_cfr.mp4,True,59.94,1.0,derecha,60.14,0.00612,label_studio
00061_cfr,AUDIENCIA,0.017,2.219,2.202,0.432,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AUDIENCIA\00061_cfr.mp4,True,59.94,1.0,ambas_izq,59.7,0.01003,label_studio
00062_cfr,AUDIENCIA,0.05,1.902,1.852,0.433,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AUDIENCIA\00062_cfr.mp4,True,59.94,1.0,ambas_izq,57.29,0.01078,label_studio
00063_cfr,AUDIENCIA,0.133,1.702,1.569,0.632,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AUDIENCIA\00063_cfr.mp4,True,59.94,1.0,ambas_izq,54.85,0.0117,label_studio
00064_cfr,AUDIENCIA,0.067,1.985,1.918,0.661,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AUDIENCIA\00064_cfr.mp4,True,59.94,1.0,izquierda,37.02,0.015,label_studio
00065_cfr,AUDIOLOGÍA+AGENTE,0.15,1.668,1.518,0.714,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AUDIOLOGÍA+AGENTE\00065_cfr.mp4,True,59.94,0.957,ambas_der,71.3,0.01465,label_studio
00066_cfr,AUDIOLOGÍA+AGENTE,0.35,2.986,2.636,0.413,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AUDIOLOGÍA+AGENTE\00066_cfr.mp4,True,59.94,1.0,ambas_der,69.8,0.00962,label_studio
00067_cfr,AUDIOLOGÍA+AGENTE,0.0,1.985,1.985,0.45,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AUDIOLOGÍA+AGENTE\00067_cfr.mp4,True,59.94,1.0,ambas_izq,52.12,0.01014,label_studio
00068_cfr,AUDIOLOGÍA+AGENTE,0.0,1.985,1.985,0.525,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AUDIOLOGÍA+AGENTE\00068_cfr.mp4,True,59.94,1.0,ambas_der,61.28,0.01334,label_studio
00070_cfr,AUMENTAR,0.05,0.834,0.784,0.975,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AUMENTAR\00070_cfr.mp4,True,59.94,1.0,ambas_der,54.44,0.01357,label_studio
00071_cfr,AUMENTAR,0.0,0.467,0.467,0.783,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AUMENTAR\00071_cfr.mp4,True,59.94,1.0,ambas_der,45.07,0.0103,label_studio
00072_cfr,AUTO+AGENTE,0.0,1.785,1.785,0.583,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AUTO+AGENTE\00072_cfr.mp4,True,59.94,1.0,ambas_izq,70.64,0.01098,label_studio
00073_cfr,AUTO+AGENTE,0.25,1.919,1.669,0.462,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AUTO+AGENTE\00073_cfr.mp4,True,59.94,1.0,ambas_der,64.83,0.00869,label_studio
00074_cfr,AUTOMÁTICO,0.0,1.485,1.485,0.648,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AUTOMÁTICO\00074_cfr.mp4,True,59.94,0.989,ambas_izq,61.38,0.01842,label_studio
00075_cfr,AUTOMÁTICO,0.284,1.485,1.201,0.773,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AUTOMÁTICO\00075_cfr.mp4,True,59.94,1.0,ambas_izq,61.9,0.02048,label_studio
00076_cfr,AVERGONZAR,0.2,1.485,1.285,0.459,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AVERGONZAR\00076_cfr.mp4,True,59.94,1.0,derecha,41.79,0.0113,label_studio
00077_cfr,AVERGONZAR,0.0,0.984,0.984,0.746,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AVERGONZAR\00077_cfr.mp4,True,59.94,1.0,derecha,46.8,0.00682,label_studio
00078 (1)_cfr,AVERGONZAR,0.167,1.368,1.201,0.815,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AVERGONZAR\00078 (1)_cfr.mp4,True,59.94,1.0,derecha,42.76,0.01179,label_studio
00078_cfr,AVERGONZAR,0.2,1.385,1.185,0.828,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AVERGONZAR\00078_cfr.mp4,True,59.94,1.0,derecha,45.75,0.01011,label_studio
C0354_cfr,AVISO,0.0,0.968,0.968,0.385,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AVISO\C0354_cfr.mp4,True,29.97,1.0,derecha,16.41,0.0066,label_studio
C0355_cfr,AVISO,0.0,0.968,0.968,0.5,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AVISO\C0355_cfr.mp4,True,29.97,1.0,ambas_der,13.7,0.01211,label_studio
C0356_cfr,AVISO,0.0,1.435,1.435,0.59,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AVISO\C0356_cfr.mp4,True,29.97,1.0,derecha,17.88,0.00866,label_studio
C0357_cfr,AVISO,0.0,0.968,0.968,0.759,auto,C:\Users\dell\Documents\TIC\Codigo_TIC\videos\AVISO\C0357_cfr.mp4,True,29.97,1.0,derecha,12.89,0.0102,label_studio
